NOME;DURAÇÃO;ATENDENTE;HORA;VINCULO;CPF
rodolfo;00:00:29;rodolfo;31/05/2022 11:32;1;123.456.789-10
euller;00:00:46;euller;31/05/2022 11:33;2;123.456.789-11
rafael;00:01:04;rafael;31/05/2022 11:34;3;123.456.789-12
rita;00:01:21;rita;31/05/2022 11:34;4;123.456.789-13
marcelo;00:01:38;marcelo;31/05/2022 11:35;5;123.456.789-14
paulo;00:01:55;paulo;31/05/2022 11:36;6;123.456.789-15
maria;00:02:13;maria;31/05/2022 11:37;7;123.456.789-16
ana;00:02:30;ana;31/05/2022 11:38;8;123.456.789-17
josé;00:02:47;josé;31/05/2022 11:39;9;123.456.789-18
leonardo;00:03:05;leonardo;31/05/2022 11:40;10;123.456.789-19
