"NOME";"CPF";"ATENDENTE";"HORA";"VINCULO";"DURAÇÃO"
"rodolfo";"123.456.789-10";"rodolfo";"31/05/2022 11:32";"1";"00:00:29"
"euller";"123.456.789-11";"euller";"31/05/2022 11:33";"2";"00:00:46"
"rafael";"123.456.789-12";"rafael";"31/05/2022 11:34";"3";"00:01:04"
"rita";"123.456.789-13";"rita";"31/05/2022 11:34";"4";"00:01:21"
"marcelo";"123.456.789-14";"marcelo";"31/05/2022 11:35";"5";"00:01:38"
"paulo";"123.456.789-15";"paulo";"31/05/2022 11:36";"6";"00:01:55"
"maria";"123.456.789-16";"maria";"31/05/2022 11:37";"7";"00:02:13"
"ana";"123.456.789-17";"ana";"31/05/2022 11:38";"8";"00:02:30"
"josé";"123.456.789-18";"josé";"31/05/2022 11:39";"9";"00:02:47"
"leonardo";"123.456.789-19";"leonardo";"31/05/2022 11:40";"10";"00:03:05"
